DEBUG 2021-09-04 00:42:10,278 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:10,822 - https://hentai2read.com:443 "GET /indecent_mother_sex_diary/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:10,824 - Receive response from https://hentai2read.com/indecent_mother_sex_diary/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:10,893 - Generate manga information
DEBUG 2021-09-04 00:42:10,894 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:11,658 - https://hentai2read.com:443 "GET /just_learned_it/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:11,670 - Receive response from https://hentai2read.com/just_learned_it/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:11,744 - Generate manga information
DEBUG 2021-09-04 00:42:11,745 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:13,021 - https://hentai2read.com:443 "GET /hentai-list/all/any/all/early-added/2 HTTP/1.1" 200 None
INFO 2021-09-04 00:42:13,267 - Receive response from https://hentai2read.com/hentai-list/all/any/all/early-added/2 with status code is 200. Generating soup
DEBUG 2021-09-04 00:42:13,518 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:14,737 - https://hentai2read.com:443 "GET /an_angel_duty/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:14,739 - Receive response from https://hentai2read.com/an_angel_duty/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:14,847 - Generate manga information
DEBUG 2021-09-04 00:42:14,849 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:15,389 - https://hentai2read.com:443 "GET /blue_eyes/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:15,393 - Receive response from https://hentai2read.com/blue_eyes/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:15,474 - Generate manga information
DEBUG 2021-09-04 00:42:15,475 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:16,216 - https://hentai2read.com:443 "GET /come_on_lovely_sisters/ HTTP/1.1" 200 None
